S.No,Station ID,Station Name,EVSE ID,Address,City,State,Latitude,Longitude,Station Status,EVSE Status,Protocol,Coordinates,Map Link
62,675030b2fdff2c76599e58db,Connaught Place Outer Circle Panchkuian Road Near Abdul Salam Masjid Parking,032300130C03127,"G Block, Outer Circle, Nr. Masjid Abdul Salam, Connaught Place, New Delhi, Delhi 110001",NEW DELHI,DELHI,28.6333,77.2165,Available,Available,ocpp1.6,"28.6333, 77.2165","28.6333, 77.2165"
63,67497ccbfdff2c76599e5843,Near Govt School MG Road,032300130C03147,"Near Government Senior Secondary Boys School, MG Road, Ghitorni, New Delhi- 110030 (Near Metro Pillar No. 139)",NEW DELHI,DELHI,28.49,77.1397,Available,Available,ocpp1.6,"28.49, 77.1397","28.49, 77.1397"
64,67497ccbfdff2c76599e5843,Near Govt School MG Road,032300130C03003,"Near Government Senior Secondary Boys School, MG Road, Ghitorni, New Delhi- 110030 (Near Metro Pillar No. 139)",NEW DELHI,DELHI,28.49,77.1397,Available,Maintenance,ocpp1.6,"28.49, 77.1397","28.49, 77.1397"
65,67444e77fdff2c76599e57ac,Arjangarh Metro Station,032300130C03050,"Luxera, Mehrauli-Gurgaon Road, near ARJAN GARH, Aya Nagar, New Delhi, Delhi, India",NEW DELHI,DELHI,28.4824,77.1283,Available,Available,ocpp1.6,"28.4824, 77.1283","28.4824, 77.1283"
66,67444e77fdff2c76599e57ac,Arjangarh Metro Station,032300130C03889,"Luxera, Mehrauli-Gurgaon Road, near ARJAN GARH, Aya Nagar, New Delhi, Delhi, India",NEW DELHI,DELHI,28.4824,77.1283,Available,Available,ocpp1.6,"28.4824, 77.1283","28.4824, 77.1283"
67,67443a9efdff2c76599e57a8,Sec 20 C at the back side,JTAC311102400015,"Sector 20-C,Back side of SCO's along V-4 Road, Chandigarh, India",CHANDIGARH,CHANDIGARH,30.7192,76.783,Coming soon,Coming soon,ocpp1.6,"30.7192, 76.783","30.7192, 76.783"
68,67406708fdff2c76599e5743,Jeevan Bharti Building Parking Area,JTAC311102400021,"Jeevan Bharti, Connaught Lane, Janpath, Connaught Place, New Delhi, Delhi, India",NEW DELHI,DELHI,28.6291,77.2178,Available,Available,ocpp1.6,"28.6291, 77.2178","28.6291, 77.2178"
69,67406708fdff2c76599e5743,Jeevan Bharti Building Parking Area,JTAC311102400031,"Jeevan Bharti, Connaught Lane, Janpath, Connaught Place, New Delhi, Delhi, India",NEW DELHI,DELHI,28.6291,77.2178,Available,Available,ocpp1.6,"28.6291, 77.2178","28.6291, 77.2178"
70,6734509d238c803f9e992d98,Behind Mohan Dev Building Parking Area,JTAC311102400033,"Atul Grove Road, Janpath, Connaught Place, New Delhi, Delhi 110001, India",NEW DELHI,DELHI,28.6273,77.2212,Available,Available,ocpp1.6,"28.6273, 77.2212","28.6273, 77.2212"
71,6734509d238c803f9e992d98,Behind Mohan Dev Building Parking Area,JTAC311102400046,"Atul Grove Road, Janpath, Connaught Place, New Delhi, Delhi 110001, India",NEW DELHI,DELHI,28.6273,77.2212,Available,Available,ocpp1.6,"28.6273, 77.2212","28.6273, 77.2212"
72,673198ef076449bdb8879aa1,Nizamuddin,032300130C03086,"Hazarat Nizamuddin Police Station, Lodhi Road, Near Sabz Burj, Nizamuddin, Nizamuddin West, New Delhi, Delhi, India",NEW DELHI,DELHI,28.5929,77.2438,Available,Available,ocpp1.6,"28.5929, 77.2438","28.5929, 77.2438"
73,673198ef076449bdb8879aa1,Nizamuddin,032300130C03088,"Hazarat Nizamuddin Police Station, Lodhi Road, Near Sabz Burj, Nizamuddin, Nizamuddin West, New Delhi, Delhi, India",NEW DELHI,DELHI,28.5929,77.2438,Available,Available,ocpp1.6,"28.5929, 77.2438","28.5929, 77.2438"
74,671b679a7d6c16b37fddc6e0,Sector 26  SCO 31 62  back side,032300130C03017,"Sector 26 Chandigarh SCO 31 62  back side , Opp. SBM TOILET 160019",CHANDIGARH,CHANDIGARH,30.7241,76.8075,Available,Available,ocpp1.6,"30.7241, 76.8075","30.7241, 76.8075"
75,671b679a7d6c16b37fddc6e0,Sector 26  SCO 31 62  back side,032300130C03094,"Sector 26 Chandigarh SCO 31 62  back side , Opp. SBM TOILET 160019",CHANDIGARH,CHANDIGARH,30.7241,76.8075,Available,Coming soon,ocpp1.6,"30.7241, 76.8075","30.7241, 76.8075"
76,671a3cfde2627f2e531860fa,G Block Opp  Madras Hotel Parking,032300130C03061,"Block- G, Connaught Circle, Opposite Madras Hotel Parking, Connaught Place, New Delhi- 110001",NEW DELHI,DELHI,28.6322,77.2166,Available,Available,ocpp1.6,"28.6322, 77.2166","28.6322, 77.2166"
77,671a3cfde2627f2e531860fa,G Block Opp  Madras Hotel Parking,032300130C03082,"Block- G, Connaught Circle, Opposite Madras Hotel Parking, Connaught Place, New Delhi- 110001",NEW DELHI,DELHI,28.6322,77.2166,Available,Available,ocpp1.6,"28.6322, 77.2166","28.6322, 77.2166"
78,671a3cfde2627f2e531860fa,G Block Opp  Madras Hotel Parking,EVS09102025,"Block- G, Connaught Circle, Opposite Madras Hotel Parking, Connaught Place, New Delhi- 110001",NEW DELHI,DELHI,28.6322,77.2166,Available,Available,ocpp1.6,"28.6322, 77.2166","28.6322, 77.2166"
79,671a3621e2627f2e531860f8,Karol Bagh Metro Station,032300130C03014,"Near Karol Bagh Metro Station, Block 1, Sat Nagar, Karol Bagh, Delhi- 110005",NEW DELHI,DELHI,28.6444,77.1895,Available,Available,ocpp1.6,"28.6444, 77.1895","28.6444, 77.1895"
80,671a334be2627f2e531860f5,NH8 4 Opp Satpura Mess IIT,032300130C03136,"Outer Ring Rd, near Bus Stand, Indian Institute of Technology Delhi, Hauz Khas, New Delhi, Delhi 110016",NEW DELHI,DELHI,28.5482,77.1891,Available,Available,ocpp1.6,"28.5482, 77.1891","28.5482, 77.1891"
81,670f738d160c53559b762c7f,Ramjas College,JTAC311102400014,"Tom Uncle Maggi Point, near Ramjas College, University Enclave, Kamla Nagar, Delhi, India",NEW DELHI,DELHI,28.6857,77.2053,Maintenance,Maintenance,ocpp1.6,"28.6857, 77.2053","28.6857, 77.2053"
82,670f738d160c53559b762c7f,Ramjas College,032300130C03119,"Tom Uncle Maggi Point, near Ramjas College, University Enclave, Kamla Nagar, Delhi, India",NEW DELHI,DELHI,28.6857,77.2053,Maintenance,Maintenance,ocpp1.6,"28.6857, 77.2053","28.6857, 77.2053"
83,66fab09b1a8e1be0cc8dc195,Delhi cantt 2,032300130C03016,"Nicholson Lines, Delhi Cantonment, New Delhi, Delhi, India",NEW DELHI,DELHI,28.605,77.1501,Available,Available,ocpp1.6,"28.605, 77.1501","28.605, 77.1501"
84,66fab09b1a8e1be0cc8dc195,Delhi cantt 2,032300130C03999,"Nicholson Lines, Delhi Cantonment, New Delhi, Delhi, India",NEW DELHI,DELHI,28.605,77.1501,Available,Available,ocpp1.6,"28.605, 77.1501","28.605, 77.1501"
85,66eaa8f494dd95cced7287e0,Sector 26 SCO 1 31,032300130C03132,"5, Madhya Marg, Sector 26, Chandigarh, 160019, India",CHANDIGARH,CHANDIGARH,30.7288,76.8022,Available,Available,ocpp1.6,"30.7288, 76.8022","30.7288, 76.8022"
86,66eaa8f494dd95cced7287e0,Sector 26 SCO 1 31,032300130C03122,"5, Madhya Marg, Sector 26, Chandigarh, 160019, India",CHANDIGARH,CHANDIGARH,30.7288,76.8022,Available,Available,ocpp1.6,"30.7288, 76.8022","30.7288, 76.8022"
87,66eaa8f494dd95cced7287e0,Sector 26 SCO 1 31,032300130C03183,"5, Madhya Marg, Sector 26, Chandigarh, 160019, India",CHANDIGARH,CHANDIGARH,30.7288,76.8022,Available,Maintenance,ocpp1.6,"30.7288, 76.8022","30.7288, 76.8022"
88,66eaa8f494dd95cced7287e0,Sector 26 SCO 1 31,30EVS14T5024D019,"5, Madhya Marg, Sector 26, Chandigarh, 160019, India",CHANDIGARH,CHANDIGARH,30.7288,76.8022,Available,Faulted,ocpp1.6,"30.7288, 76.8022","30.7288, 76.8022"
89,66d81cf12bf23f7795699b1a,OKHLA NSIC METRO,032300130C03106,"N.S.I.C, 110020, near OKHLA, Old Ishwar Nagar, Shambhu Dayal Bagh, Okhla, New Delhi 110065, India",NEW DELHI,DELHI,28.5542,77.2654,Available,Available,ocpp1.6,"28.5542, 77.2654","28.5542, 77.2654"
90,66d81cf12bf23f7795699b1a,OKHLA NSIC METRO,230301R10071,"N.S.I.C, 110020, near OKHLA, Old Ishwar Nagar, Shambhu Dayal Bagh, Okhla, New Delhi 110065, India",NEW DELHI,DELHI,28.5542,77.2654,Available,Available,ocpp1.6,"28.5542, 77.2654","28.5542, 77.2654"
91,66d051c1810c309fc91ef796,Hudson lane,032300130C03047,"1145, Mahatma Gandhi Marg, Tagore Park Extension, GTB Nagar, New Delhi, Delhi 110009, India",NEW DELHI,DELHI,28.6993,77.203,Discovery,Discovery,ocpp1.6,"28.6993, 77.203","28.6993, 77.203"
92,66c6e124b1c6b28d21838a76,Masjid moth,032300130C03125,"Masjid Moth Phase 2, Greater Kailash, New Delhi, Delhi 110048",NEW DELHI,DELHI,28.541,77.2347,Coming soon,Coming soon,ocpp1.6,"28.541, 77.2347","28.541, 77.2347"
93,66c6e124b1c6b28d21838a76,Masjid moth,230310F10014,"Masjid Moth Phase 2, Greater Kailash, New Delhi, Delhi 110048",NEW DELHI,DELHI,28.541,77.2347,Coming soon,Coming soon,ocpp1.6,"28.541, 77.2347","28.541, 77.2347"
94,66c5cca6b1c6b28d21838a6c,Delhi Cantt 1,032300130C03051,"Mahatma Gandhi Rd, Industrial Area Phase I, Brar Square, Delhi Cantonment, New Delhi, Delhi 110010, India",NEW DELHI,DELHI,28.6057,77.146,Available,Available,ocpp1.6,"28.6057, 77.146","28.6057, 77.146"
95,66c5cca6b1c6b28d21838a6c,Delhi Cantt 1,122300103C03206,"Mahatma Gandhi Rd, Industrial Area Phase I, Brar Square, Delhi Cantonment, New Delhi, Delhi 110010, India",NEW DELHI,DELHI,28.6057,77.146,Available,Available,ocpp1.6,"28.6057, 77.146","28.6057, 77.146"
96,66bc5b1b2495040daa711588,TIS HAZARI,122300103C03195,"Lala Hardev Sahai Marg, Inter State Bus Terminal, Civil Lines, New Delhi, 110006, India",NEW DELHI,DELHI,28.668,77.2247,Available,Available,ocpp1.6,"28.668, 77.2247","28.668, 77.2247"
97,66bc5b1b2495040daa711588,TIS HAZARI,032300130C03666,"Lala Hardev Sahai Marg, Inter State Bus Terminal, Civil Lines, New Delhi, 110006, India",NEW DELHI,DELHI,28.668,77.2247,Available,Available,ocpp1.6,"28.668, 77.2247","28.668, 77.2247"
98,66bb03b82495040daa711579,Jhandewalan,122300103C03202,"91, Type 4, Block B, spring board, Jhandewalan, New Delhi, Delhi 110055",NEW DELHI,DELHI,28.6446,77.2038,Available,Available,ocpp1.6,"28.6446, 77.2038","28.6446, 77.2038"
99,66bb03b82495040daa711579,Jhandewalan,032300130C03139,"91, Type 4, Block B, spring board, Jhandewalan, New Delhi, Delhi 110055",NEW DELHI,DELHI,28.6446,77.2038,Available,Available,ocpp1.6,"28.6446, 77.2038","28.6446, 77.2038"
100,66bb03b82495040daa711579,Jhandewalan,122300103C03188,"91, Type 4, Block B, spring board, Jhandewalan, New Delhi, Delhi 110055",NEW DELHI,DELHI,28.6446,77.2038,Available,Available,ocpp1.6,"28.6446, 77.2038","28.6446, 77.2038"
101,66baf63b2495040daa711577,Kingsway Camp,122300103C03186,"Banarsi Das Estate, Timarpur, Delhi, India",NEW DELHI,DELHI,28.6966,77.211,Available,Available,ocpp1.6,"28.6966, 77.211","28.6966, 77.211"
102,66baee1a2495040daa711575,Model Town,122300103C03199,"Swarn Jayanti Vihar Park, Tikri Khurd Village, Tikri Khurd, Delhi, Delhi 110040, India",NEW DELHI,DELHI,28.7076,77.1809,Available,Available,ocpp1.6,"28.7076, 77.1809","28.7076, 77.1809"
103,66baee1a2495040daa711575,Model Town,032300130C03058,"Swarn Jayanti Vihar Park, Tikri Khurd Village, Tikri Khurd, Delhi, Delhi 110040, India",NEW DELHI,DELHI,28.7076,77.1809,Available,Available,ocpp1.6,"28.7076, 77.1809","28.7076, 77.1809"
104,668fa95fbcfe6047355f3951,Rajendra Nagar,032300130C03100,"80, Shankar Road, Block 5, Old Rajinder Nagar, Rajinder Nagar, New Delhi, Delhi, India",NEW DELHI,DELHI,28.6383,77.1804,Available,Available,ocpp1.6,"28.6383, 77.1804","28.6383, 77.1804"
105,668fa95fbcfe6047355f3951,Rajendra Nagar,032300130C03002,"80, Shankar Road, Block 5, Old Rajinder Nagar, Rajinder Nagar, New Delhi, Delhi, India",NEW DELHI,DELHI,28.6383,77.1804,Available,Available,ocpp1.6,"28.6383, 77.1804","28.6383, 77.1804"
106,668536f0ae1f372eee20efd8,ESI Punjabi Bagh,122300103C03192,"Ring Rd, Shivaji Enclave, Tagore Garden Extension, New Delhi, Delhi, 110018",NEW DELHI,DELHI,28.6591,77.1286,Available,Available,ocpp1.6,"28.6591, 77.1286","28.6591, 77.1286"
107,66838cffae1f372eee20efce,Lajpat Nagar,032300130C03102,"A / 66, FF, Lajpat Nagar part 2, New Delhi, Delhi 110024",NEW DELHI,DELHI,28.5697,77.2385,Available,Available,ocpp1.6,"28.5697, 77.2385","28.5697, 77.2385"
108,66791423393a34c4248b6e31,Punjabi bagh,JTAC311102400032,"M48P+P24, Block F, Sudershan Park, Delhi, 110026",NEW DELHI,DELHI,28.6668,77.1351,Available,Available,ocpp1.6,"28.6668, 77.1351","28.6668, 77.1351"
109,66791423393a34c4248b6e31,Punjabi bagh,JTAC311102400005,"M48P+P24, Block F, Sudershan Park, Delhi, 110026",NEW DELHI,DELHI,28.6668,77.1351,Available,Available,ocpp1.6,"28.6668, 77.1351","28.6668, 77.1351"
110,667425ffd7e339660b7dc0d3,Maharaja Agrasen Hospital,JTAC311102400054,"Maharaja Agrasen Hospital, Rohtak Road, Railway Colony North, Shakur Basti, New Delhi, Delhi, India",NEW DELHI,DELHI,28.6746,77.1348,Available,Available,ocpp1.6,"28.6746, 77.1348","28.6746, 77.1348"
111,66419e3678ce54af3bb64864,Okhla Mandi,230301R10422,"H756+RMJ, Captain Gaur Marg, G Block, Shambhu Dayal Bagh, Bahapur, New Delhi, Delhi 110048",NEW DELHI,DELHI,28.5596,77.2616,Available,Available,ocpp1.6,"28.5596, 77.2616","28.5596, 77.2616"
112,66419e3678ce54af3bb64864,Okhla Mandi,Dummy- 0048,"H756+RMJ, Captain Gaur Marg, G Block, Shambhu Dayal Bagh, Bahapur, New Delhi, Delhi 110048",NEW DELHI,DELHI,28.5596,77.2616,Available,Available,ocpp1.6,"28.5596, 77.2616","28.5596, 77.2616"
113,66419d8878ce54af3bb64862,Kalra hospital,032300130C03142,"Block A, Indira Colony, Kirti Nagar, New Delhi, 110015",NEW DELHI,DELHI,28.655,77.138,Available,Available,ocpp1.6,"28.655, 77.138","28.655, 77.138"
114,66419d8878ce54af3bb64862,Kalra hospital,JTAC311102400028,"Block A, Indira Colony, Kirti Nagar, New Delhi, 110015",NEW DELHI,DELHI,28.655,77.138,Available,Available,ocpp1.6,"28.655, 77.138","28.655, 77.138"
115,66419cfd78ce54af3bb64860,South extension,032300130C03110,"Block H, South Extension I, New Delhi, Delhi 110049, India",NEW DELHI,DELHI,28.5689,77.2217,Discovery,Discovery,ocpp1.6,"28.5689, 77.2217","28.5689, 77.2217"
116,66278d44a51c7f3385b4494c,Moti Nagar,JTAC311102400025,"Block A, New Moti Nagar, Moti Nagar, New Delhi 110015",NEW DELHI,DELHI,28.6607,77.1432,Available,Available,ocpp1.6,"28.6607, 77.1432","28.6607, 77.1432"
117,66224e631f937eafe588ef5f,GK Nala,032300130C03056,"Block B, Greater Kailash I, Greater Kailash, New Delhi, Delhi 110048",NEW DELHI,DELHI,28.5534,77.2302,Available,Available,ocpp1.6,"28.5534, 77.2302","28.5534, 77.2302"
118,66224e631f937eafe588ef5f,GK Nala,032300130C03091,"Block B, Greater Kailash I, Greater Kailash, New Delhi, Delhi 110048",NEW DELHI,DELHI,28.5534,77.2302,Available,Available,ocpp1.6,"28.5534, 77.2302","28.5534, 77.2302"
119,661eae751f937eafe588ed74,Nehru Place,032300130C03115,"Nehru Place, New Delhi, Delhi 110048",NEW DELHI,DELHI,28.5467,77.2525,Available,Available,ocpp1.6,"28.5467, 77.2525","28.5467, 77.2525"
120,661eae751f937eafe588ed74,Nehru Place,JTAC311102400050,"Nehru Place, New Delhi, Delhi 110048",NEW DELHI,DELHI,28.5467,77.2525,Available,Available,ocpp1.6,"28.5467, 77.2525","28.5467, 77.2525"
121,66191ab066512ff1b8c74679,Karampura,JTAC311102400012,"1-287, Shop no.1, Karampura, New Delhi, Delhi 110015",NEW DELHI,DELHI,28.6655,77.1394,Available,Available,ocpp1.6,"28.6655, 77.1394","28.6655, 77.1394"
122,661917f366512ff1b8c74677,JLN Stadium 3019,032300130C03019,"Baba Banda Singh Bahadur Setu, Kasturba Nagar, Lodi Colony, New Delhi, Delhi 110003",NEW DELHI,DELHI,28.5797,77.2305,Available,Available,ocpp1.6,"28.5797, 77.2305","28.5797, 77.2305"
123,661917f366512ff1b8c74677,JLN Stadium 3019,122300103C03299,"Baba Banda Singh Bahadur Setu, Kasturba Nagar, Lodi Colony, New Delhi, Delhi 110003",NEW DELHI,DELHI,28.5797,77.2305,Available,Available,ocpp1.6,"28.5797, 77.2305","28.5797, 77.2305"
124,661916be66512ff1b8c74675,Rk Puram,032300130C03129,Sector 5 RK Puram,NEW DELHI,DELHI,28.5604,77.1704,Available,Available,ocpp1.6,"28.5604, 77.1704","28.5604, 77.1704"
125,6619136d66512ff1b8c74673,Gulabi Bagh 3108,032300130C03108,"Swami Narayan Marg, Block A, Gulabi Bagh, New Delhi, 110007",NEW DELHI,DELHI,28.6752,77.1887,Available,Available,ocpp1.6,"28.6752, 77.1887","28.6752, 77.1887"
